1;00000368000150;CASA MILITAR DO GABINETE DO GOVERNADOR;2;8411600;AVENIDA;MORUMBI;4500;2 ANDAR;MORUMBI;5650000;SP;SAO PAULO;11 21938305;;;NYAKAS@SP.GOV.BR;5
;00000368000230;CASA MILITAR DO GABINETE DO GOVERNADOR;2;8411600;AVENIDA;MORUMBI;4500;ANDAR INTERMEDIARIO SALA 28;MORUMBI;5650001;SP;SAO PAULO;11 21938346;11 21938373;11 21938389;financascasamilitar@sp.gov.br;5
;00022945000104;JALUSA COMERCIO IMPORTACAO E EXPORTACAO LTDA;8;8411600;RUA;DR CANDIDO ESPINHEIRA;866;CONJ 01 SALA 03;PERDIZES;5004000;SP;SAO PAULO;;;;;5
;00038174002359;FUNDACAO UNIVERSIDADE DE BRASILIA;2;8411600;AVENIDA;LINS DE VASCONCELOS;3282;CONJ 92;VILA MARIANA;4112002;SP;SAO PAULO;115729279;;;;5
;00059311001360;FUNDACAO NACIONAL DO INDIO;2;8411600;RUA;APENINOS;912;;PARAISO;4104020;SP;SAO PAULO;;;;;5
;00065358000100;L. SERRANO CONSULTORIA E ASSESSORIA S/S LTDA;8;8411600;RUA;MARIA C. SENE;87;APTO 113;VL PAULICEIA;2311010;SP;SAO PAULO;;;;;5
;00153750000101;JEFFERSON DE SOUZA FERNANDES;8;8411600;RUA;BONFIM;201;;MARANHAO;3073000;SP;SAO PAULO;;;;;5
;00211401000190;CARTORIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS - 41. CARTORIO DE REGISTRO CIVIL;2;8411600;AVENIDA;CANGAIBA;950;;CANGAIBA;3711000;SP;SAO PAULO;011 2958309;;;;5
;00238367000148;OCTOPUS AGRO-PECUARIA LTDA;8;8411600;AVENIDA;PAULISTA;1159;17 A CJ 1701 PARTE;CERQUEIRA CESAR;1311921;SP;SAO PAULO;;;;;5
;00303870000130;ASSTENGMAN MANUTENCAO DE EQUIPAMENTOS S/C LTDA;8;8411600;AVENIDA;CAP ANSELMO BARCELOS;827;;ERMELINO MATARAZZO;8210040;SP;SAO PAULO;;;;;5
;00375114000620;DEFENSORIA PUBLICA DA UNIAO;2;8411600;RUA;FERNANDO DE ALBUQUERQUE,;151/;157;CONSOLACAO;1309030;SP;SAO PAULO;11 32310866;;;;5
;00381056000303;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;2;8411600;RUA;LOEFGREN;2225;;VILA CLEMENTINO;4040033;SP;SAO PAULO;;;;;5
;00394429002405;COMANDO DA AERONAUTICA;2;8422100;AVENIDA;D PEDRO I;100;;CAMBUCI;1552000;SP;SAO PAULO;;;;;5
;00394429003045;COMANDO DA AERONAUTICA;2;8422100;AVENIDA;DOM PEDRO I;100;ANDAR 4;VILA MONUMENTO;1552000;SP;SAO PAULO;11 33825281;;;PROTOCOLO.DIRMAB@FAB.MIL.BR;5
